message,otp_request,upfront_fee,guaranteed_approval,urgency_pressure,excessive_permissions,fake_rbi_claim,hidden_charges,suspicious_link,flag,risk_score,risk_category
আপনার জয়েন্ট অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
সতর্কতা: অজানা নম্বর থেকে কল আসলে অবহেলা করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"আজকের ডেলিভারি সফল হয়েছে, পণ্য গ্রহণের জন্য ধন্যবাদ।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার ওটিপি কোড দিন অন্যথায় একাউন্ট বন্ধ হবে।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your package has been shipped. Track your delivery at this link.,0,0,0,0,0,0,0,1,0,15,Low Risk 🟢
Congratulations! You've won a free gift card. Click now to claim.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Our records show suspicious activity in your account. Contact support.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your subscription is about to expire. Renew now for uninterrupted service.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
You have an overdue bill of BDT 3000. Pay immediately to avoid disconnect.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Limited-time offer! Double your money in 7 days. Invest now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Loan approved! Send your details to receive funds today.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your online order is ready. View details here.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Fake invoice attached. Please review and click the link to pay.,0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
Your car insurance claim has been approved. Contact us to finalize.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
It’s your last chance to claim your cashback. Act now!,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"You have been selected for a surveys. Complete now and win BDT 10,000.",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Attention! Your mobile data plan will expire tomorrow. Renew now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Fake urgent message: You owe BDT 500 for missed payment. Pay now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your bank account is locked. Verify now to regain access.,0,0,0,1,1,0,0,0,1,35,Medium Risk 🟡
Limited-time deal: Buy now and get 50% discount on all products.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Mystery shopping opportunity! Earn BDT 2000 daily. Sign up now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your recent transaction of BDT 4200 was successfully processed.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Warning! Suspicious activity detected. Change your credentials now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your gaming account has been hacked. Change your password immediately.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"অবিলম্বে আপনার একাউন্ট যাচাই করুন, না হলে এটি বন্ধ হয়ে যাবে।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আজকের বিশেষ ছাড়ে অংশ নিন, আজই যোগাযোগ করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার লোন আবেদন সফল, দ্রুত OTP দিন যাচাইয়ের জন্য।",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"আপনার ডেবিট কার্ডের সীমা শেষ হতে যাচ্ছে, আরও তথ্যের জন্য কল করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
মোবাইল বিল বাবদ ৫০০ টাকা সফলভাবে পরিশোধ হয়েছে।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Hello from BLOrange club. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.blorange.club.bd",0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
Call FREEPHONE +8800 542 0578 now!,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Loan for any purpose 500 tk- 75,000tk. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free +880 1956669 or text back 'help'",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Sorry i'm not free...,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
How. Its a little difficult but its a simple way to enter this place,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call +8801906401883. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your package delivery is delayed. Track now at this fake link.,0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
"Get rich quick! Invest BDT 10,000 today and double your money fast.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your job application was successful! Reply to claim your position,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Verify your phone number now to avoid service interruption.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Free $1000 gift card! Click here to redeem before it expires.,0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
Your recent online purchase has been shipped successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert: Classified documents found linked to your account. Contact now!,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your electricity bill of BDT 3000 is overdue. Pay now to avoid cut-off.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Congratulations! You’ve won a holiday trip. Reply to claim.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Payment of BDT 5000 received. Thank you for your timely payment.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent notice! Verify your social security number immediately.,0,0,0,1,0,1,0,0,1,45,High Risk 🟠
Your bank loan has been approved. Send documents to finalize.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your subscription payment failed. Update billing info to continue.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your ticket to the concert is confirmed. Thank you for your purchase.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
You've been selected for a secret shopper job. Earn BDT 2000 daily.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Important: Claim your tax refund of BDT 8,000 today via this link",0,0,0,0,0,1,0,1,1,45,High Risk 🟠
Your online account will be suspended soon. Verify credentials now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your medical insurance claim has been processed successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
New investment opportunity: Guaranteed 30% monthly returns.,0,0,1,0,0,0,0,0,1,15,Low Risk 🟢
Your parcel has been dispatched. Track with tracking number XYZ123.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Claim your free BDT 5,000 reward now by clicking this link before it expires!",0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
You have unclaimed cashback waiting. Submit your details to claim it immediately.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Final notice: Claim your government grant of BDT 10,000 within 24 hours",0,0,0,1,0,1,0,0,1,45,High Risk 🟠
Congratulations! Claim your exclusive shopping voucher by replying with YES.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"You are eligible to claim a BDT 3,000 bonus from your telecom operator.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Claim your prize by verifying your phone number within 2 hours.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Claim your loan disbursed amount now by confirming your bank details.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Urgent: Claim compensation for delayed delivery by visiting this link.,0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
Claim your free ticket for the concert happening near you this weekend.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Claim your BDT 7,500 insurance payout by contacting us immediately.",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Claim your cashback by logging into your account with this link.,0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
"You have been selected to claim a new government subsidy, respond with your ID",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Claim your refund for the recent transaction now before the offer expires.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Claim your mystery gift by sending a reply with your full name and address.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Claim your free mobile upgrade by confirming your account info via SMS.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
You have a new message from the lottery office. Claim your winnings ASAP.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Claim your prize money by paying a small processing fee at the link below,0,1,0,0,0,0,1,1,1,50,High Risk 🟠
"Claim your BDT 15,000 bonus credits from our new app by signing up now.",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Claim your tax refund by uploading your financial documents immediately.,0,0,0,1,0,1,0,0,1,45,High Risk 🟠
Claim your exclusive membership rewards by clicking here. Limited time offer!,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your BDT 2000 payment has been received. Thank you for using our service.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent: Verify your identity to avoid account closure. Click this link now.,0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
Congratulations! You have been selected for a free smartwatch. Reply YES.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your electricity bill of BDT 1500 is due tomorrow. Please pay on time.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Immediate action required! Suspicious login detected. Confirm your password.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Your mobile recharge of BDT 500 was successful.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Last chance to claim your cashback offer worth BDT 10,000!",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Package delivered! Track it anytime using tracking number #12345.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
You won an exclusive holiday package. Contact us immediately to claim.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your online subscription has been renewed successfully,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Warning! Your account has been suspended due to suspicious activity.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Enjoy 20% discount on your next purchase. Use code SAVE20.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your loan application was approved. Submit documents to receive payment.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
