message,risk_score,risk_category,flag
"BDT 15,000 payment received from your account.",0,Low Risk,0
Warning: Suspicious activity in your account. Verify using your OTP immediately.,45,High Risk,1
"Your loan payment of BDT 10,000 is overdue. Please pay immediately to avoid penalties.",15,Low Risk,1
Congratulations! You won a free investment plan. Call now to claim your prize.,15,Low Risk,1
New job opportunity with high salary. Send your CV to apply immediately.,15,Low Risk,1
"You have been selected for a government grant of BDT 50,000. Contact us now.",45,High Risk,1
Exclusive offer: Double your money in 30 days with our secret scheme.,0,Low Risk,1
"Your lottery ticket won BDT 1,00,000. Send your details for prize delivery.",0,Low Risk,1
Join our online trading platform for guaranteed profits.,15,Low Risk,1
Beware of strangers asking for your financial details over chat or SMS.,0,Low Risk,0
Your KYC verification is complete. Thank you for your cooperation.,0,Low Risk,0
"Earn BDT 2,000 daily working from home. Register now!",15,Low Risk,1
"Immediate payment required for customs clearance. Pay BDT 5,000 now.",15,Low Risk,1
Congratulations! You are shortlisted for a luxury car giveaway.,0,Low Risk,1
Investment opportunity with zero risk and high returns. Contact us.,0,Low Risk,1
Monthly subscription paid successfully.,0,Low Risk,0
Avoid fake schemes promising overnight wealth. Stay cautious.,0,Low Risk,0
Free smartphone giveaway for lucky winners. Reply to participate.,0,Low Risk,1
"Urgent: Pay BDT 10,000 to avoid legal action related to tax dues.",15,Low Risk,1
Your online order has been shipped successfully.,0,Low Risk,0
Your health insurance claim has been approved. Contact for details.,0,Low Risk,0
Secure your future with our pension plan. Enroll today!,0,Low Risk,1
"Reminder: Electricity bill payment of BDT 3,500 is due tomorrow.",0,Low Risk,0
বিশাল বিনিয়োগের সুযোগ! দ্রুত আজই ফোন করুন।,0,Low Risk,1
বিনামূল্যে ক্যাশব্যাক জন্য আজই বেছে নিন।,0,Low Risk,1
আধার কার্ড হারিয়ে গেলে কি করবেন? আজই যোগাযোগ করুন।,0,Low Risk,0
জাল ব্যবসায়িক সুযোগ! দ্রুত বিনিয়োগ করুন এবং বড় লাভ করুন।,0,Low Risk,1
আপনার লাইভ লটারি জেতা হয়েছে! এখনই প্রমাণ পাঠান।,0,Low Risk,1
মোবাইল ট্রেডিং প্ল্যাটফর্মে যোগ দিন। নিশ্চিত লাভের গ্যারান্টি।,0,Low Risk,1
অবৈধ আর্থিক লেনদেন এড়ানোর জন্য সতর্ক থাকুন।,0,Low Risk,0
আপনার বৈধতা নিশ্চিত করতে আমাদের নিকট যোগাযোগ করুন।,0,Low Risk,0
"বাসা ভাড়া, চাকরি এবং ব্যবসার জন্য দ্রুত ঋণ পেতে যোগাযোগ করুন।",0,Low Risk,1
দ্রুত বিনিয়োগ করুন এবং মাসে কোটি টাকা উপার্জন করুন।,0,Low Risk,1
নির্ভরযোগ্য ব্যাংক অ্যাকাউন্ট থেকে টাকা সরাসরি পাঠান।,0,Low Risk,1
আপনার একটি চূড়ান্ত সুযোগ! আজই অংশ নিন এবং বড় লাভ করুন।,0,Low Risk,1
বিনামূল্যে ব্যাংক সাবসক্রিপশন পেতে আজই যোগাযোগ করুন।,0,Low Risk,0
বনধের পরিসীমা থেকে প্রাইভেট জেনারেশন শুরু হয়েছে। বিনিয়োগ করুন।,0,Low Risk,1
হারানো পণ্য পুনরুদ্ধার করতে আমাদের সাথে যোগাযোগ করুন।,0,Low Risk,0
দ্রুত উপার্জনের জন্য আজই যোগ দিন। প্রতিদিন BDT 2000 থেকে BDT 5000 পর্যন্ত উপার্জন।,0,Low Risk,1
আপনার পেমেন্ট পরবর্তী সপ্তাহে কাটা হবে না! দ্রুত কার্যক্রম নিন।,0,Low Risk,0
আপনার প্রিয়জনের জন্য গোপন নোটিশ: সাধারণ ফিচার ডাউনলোড করুন।,0,Low Risk,0
বিনিয়োগের জন্য দুর্দান্ত সুযোগ! ব্যাঙ্কের পার্টনারশিপে বড় লাভ।,0,Low Risk,1
পেমেন্টের জন্য ধন্যবাদ। আপনার ট্রানজেকশন সফল হয়েছে।,0,Low Risk,0
"আপনার একাউন্ট থেকে অজানা লেনদেন হয়েছে, দ্রুত যাচাই করুন।",0,Low Risk,1
"আপনার মোবাইল রিচার্জ সফল হয়েছে, ধন্যবাদ।",0,Low Risk,0
জরুরি! OTP দিয়ে একাউন্ট যাচাই করুন না হলে ব্লক হবে।,30,Medium Risk,1
"আজকের বিশেষ অফার থেকে সুযোগ নিন, আজই কল করুন।",0,Low Risk,1
"আপনার লোন আবেদন সফল হয়েছে, ফর্ম পূরণের জন্য OTP প্রদান করুন।",30,Medium Risk,1
আপনার অ্যাকাউন্টে নতুন অ্যাক্টিভিটি শনাক্ত করা হয়েছে।,0,Low Risk,1
"নম্বর থেকে টাকা সফলভাবে উত্তোলন হয়েছে, ধন্যবাদ।",0,Low Risk,0
আপনার একাউন্টের বিস্তারিত তথ্য যাচাই করতে লিঙ্কে ক্লিক করুন।,0,Low Risk,1
অনলাইন কেনাকাটায় ক্যাশব্যাক পেতে OTP পাঠান।,30,Medium Risk,1
"নতুন সিম কার্ড চালু হয়েছে, ধন্যবাদ ব্যবহারের জন্য।",0,Low Risk,0
আপনার জয়েন্ট অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে।,0,Low Risk,1
সতর্কতা: অজানা নম্বর থেকে কল আসলে অবহেলা করুন।,0,Low Risk,0
"আজকের ডেলিভারি সফল হয়েছে, পণ্য গ্রহণের জন্য ধন্যবাদ।",0,Low Risk,0
আপনার ওটিপি কোড দিন অন্যথায় একাউন্ট বন্ধ হবে।,0,Low Risk,1
Your package has been shipped. Track your delivery at this link.,15,Low Risk,0
Congratulations! You've won a free gift card. Click now to claim.,15,Low Risk,1
Our records show suspicious activity in your account. Contact support.,0,Low Risk,1
Your subscription is about to expire. Renew now for uninterrupted service.,15,Low Risk,1
You have an overdue bill of BDT 3000. Pay immediately to avoid disconnect.,15,Low Risk,1
Limited-time offer! Double your money in 7 days. Invest now.,0,Low Risk,0
Loan approved! Send your details to receive funds today.,0,Low Risk,1
Your online order is ready. View details here.,0,Low Risk,0
Fake invoice attached. Please review and click the link to pay.,15,Low Risk,1
Your car insurance claim has been approved. Contact us to finalize.,0,Low Risk,1
It’s your last chance to claim your cashback. Act now!,15,Low Risk,1
"You have been selected for a surveys. Complete now and win BDT 10,000.",15,Low Risk,1
Attention! Your mobile data plan will expire tomorrow. Renew now.,15,Low Risk,1
Fake urgent message: You owe BDT 500 for missed payment. Pay now.,15,Low Risk,1
Your bank account is locked. Verify now to regain access.,35,Medium Risk,1
Limited-time deal: Buy now and get 50% discount on all products.,0,Low Risk,0
Mystery shopping opportunity! Earn BDT 2000 daily. Sign up now.,15,Low Risk,1
Your recent transaction of BDT 4200 was successfully processed.,0,Low Risk,0
Warning! Suspicious activity detected. Change your credentials now.,15,Low Risk,1
Your gaming account has been hacked. Change your password immediately.,45,High Risk,1
"অবিলম্বে আপনার একাউন্ট যাচাই করুন, না হলে এটি বন্ধ হয়ে যাবে।",0,Low Risk,1
"আজকের বিশেষ ছাড়ে অংশ নিন, আজই যোগাযোগ করুন।",0,Low Risk,1
"আপনার লোন আবেদন সফল, দ্রুত OTP দিন যাচাইয়ের জন্য।",30,Medium Risk,1
"আপনার ডেবিট কার্ডের সীমা শেষ হতে যাচ্ছে, আরও তথ্যের জন্য কল করুন।",0,Low Risk,1
মোবাইল বিল বাবদ ৫০০ টাকা সফলভাবে পরিশোধ হয়েছে।,0,Low Risk,0
"Hello from BLOrange club. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.blorange.club.bd",15,Low Risk,1
Call FREEPHONE +8800 542 0578 now!,15,Low Risk,1
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,Low Risk,0
"Loan for any purpose 500 tk- 75,000tk. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free +880 1956669 or text back 'help'",0,Low Risk,1
Sorry i'm not free...,0,Low Risk,0
How. Its a little difficult but its a simple way to enter this place,0,Low Risk,0
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call +8801906401883. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,0,Low Risk,1
Your package delivery is delayed. Track now at this fake link.,30,Medium Risk,1
"Get rich quick! Invest BDT 10,000 today and double your money fast.",0,Low Risk,1
Your job application was successful! Reply to claim your position,0,Low Risk,1
Verify your phone number now to avoid service interruption.,15,Low Risk,1
Free $1000 gift card! Click here to redeem before it expires.,15,Low Risk,1
Your recent online purchase has been shipped successfully.,0,Low Risk,0
Alert: Classified documents found linked to your account. Contact now!,15,Low Risk,1
Your electricity bill of BDT 3000 is overdue. Pay now to avoid cut-off.,15,Low Risk,1
Congratulations! You’ve won a holiday trip. Reply to claim.,0,Low Risk,1
Payment of BDT 5000 received. Thank you for your timely payment.,0,Low Risk,0
Urgent notice! Verify your social security number immediately.,45,High Risk,1
Your bank loan has been approved. Send documents to finalize.,0,Low Risk,1
Your subscription payment failed. Update billing info to continue.,0,Low Risk,1
Your ticket to the concert is confirmed. Thank you for your purchase.,0,Low Risk,0
You've been selected for a secret shopper job. Earn BDT 2000 daily.,0,Low Risk,1
"Important: Claim your tax refund of BDT 8,000 today via this link",45,High Risk,1
Your online account will be suspended soon. Verify credentials now.,15,Low Risk,1
Your medical insurance claim has been processed successfully.,0,Low Risk,0
New investment opportunity: Guaranteed 30% monthly returns.,15,Low Risk,1
Your parcel has been dispatched. Track with tracking number XYZ123.,0,Low Risk,0
"Claim your free BDT 5,000 reward now by clicking this link before it expires!",30,Medium Risk,1
You have unclaimed cashback waiting. Submit your details to claim it immediately.,15,Low Risk,1
"Final notice: Claim your government grant of BDT 10,000 within 24 hours",45,High Risk,1
Congratulations! Claim your exclusive shopping voucher by replying with YES.,0,Low Risk,1
"You are eligible to claim a BDT 3,000 bonus from your telecom operator.",0,Low Risk,1
Claim your prize by verifying your phone number within 2 hours.,15,Low Risk,1
Claim your loan disbursed amount now by confirming your bank details.,15,Low Risk,1
Urgent: Claim compensation for delayed delivery by visiting this link.,30,Medium Risk,1
Claim your free ticket for the concert happening near you this weekend.,0,Low Risk,1
"Claim your BDT 7,500 insurance payout by contacting us immediately.",15,Low Risk,1
Claim your cashback by logging into your account with this link.,15,Low Risk,1
"You have been selected to claim a new government subsidy, respond with your ID",0,Low Risk,1
Claim your refund for the recent transaction now before the offer expires.,15,Low Risk,1
Claim your mystery gift by sending a reply with your full name and address.,0,Low Risk,1
Claim your free mobile upgrade by confirming your account info via SMS.,0,Low Risk,1
You have a new message from the lottery office. Claim your winnings ASAP.,15,Low Risk,1
Claim your prize money by paying a small processing fee at the link below,50,High Risk,1
"Claim your BDT 15,000 bonus credits from our new app by signing up now.",15,Low Risk,1
Claim your tax refund by uploading your financial documents immediately.,45,High Risk,1
Claim your exclusive membership rewards by clicking here. Limited time offer!,0,Low Risk,0
Your BDT 2000 payment has been received. Thank you for using our service.,0,Low Risk,0
Urgent: Verify your identity to avoid account closure. Click this link now.,30,Medium Risk,1
Congratulations! You have been selected for a free smartwatch. Reply YES.,0,Low Risk,1
Your electricity bill of BDT 1500 is due tomorrow. Please pay on time.,0,Low Risk,0
Immediate action required! Suspicious login detected. Confirm your password.,30,Medium Risk,1
Your mobile recharge of BDT 500 was successful.,0,Low Risk,0
"Last chance to claim your cashback offer worth BDT 10,000!",0,Low Risk,1
Package delivered! Track it anytime using tracking number #12345.,0,Low Risk,0
You won an exclusive holiday package. Contact us immediately to claim.,15,Low Risk,1
Your online subscription has been renewed successfully,0,Low Risk,0
Warning! Your account has been suspended due to suspicious activity.,0,Low Risk,1
Enjoy 20% discount on your next purchase. Use code SAVE20.,0,Low Risk,0
Your loan application was approved. Submit documents to receive payment.,0,Low Risk,1
Thank you for your recent payment of BDT 3000.,0,Low Risk,0
Alert! Unrecognized device logged in to your account. Verify immediately.,15,Low Risk,1
Your food delivery has arrived. Please collect it.,0,Low Risk,0
Claim your prize money worth BDT 5000 by sending your bank details now.,15,Low Risk,1
Your appointment with Dr. Rahman has been confirmed for tomorrow.,0,Low Risk,0
"You are selected for government subsidy. Verify details to claim BDT 15,000.",0,Low Risk,1
Your electricity bill payment of BDT 2600 was successful.,0,Low Risk,0
Your BDT 3000 utility bill has been paid successfully.,0,Low Risk,0
Urgent! Confirm your credit card details to avoid suspension.,15,Low Risk,1
Congratulations! You won a free trip. Reply YES to claim your prize.,0,Low Risk,1
Your mobile data has been recharged with 2GB. Enjoy surfing.,0,Low Risk,0
Warning: Suspicious transaction detected. Verify your identity immediately.,15,Low Risk,1
Your food order from FoodieApp is delivered. Enjoy your meal!,0,Low Risk,0
Limited-time offer! Double your investment in 15 days. Call now.,0,Low Risk,0
You have successfully booked a taxi for 9 AM tomorrow.,0,Low Risk,0
"Final notice! Claim your BDT 10,000 insurance payout today.",0,Low Risk,1
Your monthly gym subscription has been renewed. Thank you.,0,Low Risk,0
You have unpaid fines totaling BDT 1200. Pay now to avoid penalties.,15,Low Risk,1
Event reminder: Music concert tonight at 7 PM at City Arena.,0,Low Risk,0
Your debit card has been temporarily blocked for security reasons.,0,Low Risk,1
Your parcel #XZ1234 is ready for pickup at the post office.,0,Low Risk,0
Urgent: Your loan approval is pending. Submit documents to proceed.,15,Low Risk,1
Your cab driver will arrive in 5 minutes. Please be ready,0,Low Risk,0
"Get rich quick! Invest BDT 20,000 in crypto mining and earn huge profits.",0,Low Risk,1
Thank you for registering for the webinar. We will email the link soon.,15,Low Risk,0
Your electricity meter reading is due. Please pay your bill of BDT 2500.,0,Low Risk,0
Last chance: Claim your cashback by verifying your account details now.,15,Low Risk,1
Your BDT 4000 electricity bill has been paid. Thank you for your payment.,0,Low Risk,1
Alert: Suspicious account activity detected. Verify your info immediately.,15,Low Risk,0
Congratulations! You are selected for a free smartphone giveaway. Reply YES.,0,Low Risk,1
Your monthly mobile recharge of BDT 600 was successful.,0,Low Risk,0
Urgent! Your login was from an unknown device. Confirm your identity now.,15,Low Risk,1
Your food delivery order has arrived. Enjoy your meal!,0,Low Risk,0
Double your money with our new investment plan. Call us today,0,Low Risk,1
Urgent! Verify your bank details to prevent account suspension.,15,Low Risk,1
"Claim your prize worth BDT 10,000 by replying",0,Low Risk,1
Your recent payment of BDT 1500 was successful,0,Low Risk,0
Your parcel #AB123 is out for delivery.,0,Low Risk,0
Your electricity bill of BDT 800 is due tomorrow.,0,Low Risk,0
"Immediate notice: Unauthorized transaction detected, act now!",15,Low Risk,1
You have won a free luxury watch. Reply to claim now.,15,Low Risk,1
Your mobile recharge of BDT 300 was successful.,0,Low Risk,0
Reminder: Doctor’s appointment tomorrow at 10 AM,0,Low Risk,0
Thank you for your recent bank deposit of BDT 5000.,0,Low Risk,0
"Claim your government grant of BDT 12,000 now.",45,High Risk,1
"Alert! Suspicious login attempt detected, verify your account.",0,Low Risk,1
Your cab driver will arrive in 10 minutes.,0,Low Risk,0
Your online subscription has been renewed. Thank you!,0,Low Risk,0
You have a new message from the lottery office. Claim winnings.,0,Low Risk,0
Your credit card has been temporarily blocked. Confirm details.,0,Low Risk,1
Congratulations! You are selected for exclusive cashback offer.,0,Low Risk,1
Your electricity payment of BDT 2200 was successful.,0,Low Risk,0
Your order #5678 has been processed and shipped.,0,Low Risk,0
Payment reminder: Your internet bill of BDT 1200 is due.,0,Low Risk,0
Alert: Suspicious debit card transaction of BDT 5000 detected. Verify immediately.,15,Low Risk,1
You won a free vacation to the Bahamas! Reply YES to claim your prize.,0,Low Risk,1
Your electricity bill payment of BDT 3200 was successful.,0,Low Risk,0
Your package #ZX12345 is out for delivery. Track it using our app.,0,Low Risk,0
Reminder: Doctor appointment scheduled for tomorrow at 9:30 AM.,0,Low Risk,0
Urgent: Your bank account has been locked due to suspicious activity. Verify now.,35,Medium Risk,1
"Claim your cash reward of BDT 10,000 now. Send your bank details to proceed.",15,Low Risk,1
Your Uber ride has been confirmed for 3 PM today.,0,Low Risk,0
Last chance to update your payment info or your subscription will be suspended.,0,Low Risk,1
Congratulations! You have been pre-approved for a loan. Apply now to get instant approval.,30,Medium Risk,1
Your recent grocery order #78345 has been delivered. Enjoy your purchase!,0,Low Risk,0
Your Netflix subscription has been renewed. Thank you for staying with us.,0,Low Risk,0
Alert: Unrecognized login attempt detected on your email. Secure your account now.,15,Low Risk,1
"You've received BDT 1,000 cashback from your last purchase",0,Low Risk,0
Please verify your social security number to claim your government grant.,30,Medium Risk,1
Your cab driver is on the way and will arrive in 5 minutes.,0,Low Risk,0
Verify your Apple ID to prevent permanent lockout. Ignore if you did not request.,0,Low Risk,1
Thank you for your donation of BDT 500. Your generosity is appreciated.,0,Low Risk,0
Let's meet at the cafe around 8 PM?,0,Low Risk,0
Claim your cashback reward #10 now! Limited time offer.,0,Low Risk,0
আপনার বিকাশে 350 টাকা জিতেছেন! তথ্য নিশ্চিত করতে এখনই লিঙ্কে যান।,0,Low Risk,1
Congratulations! You won a free iPhone. Claim now at secure-link.com,30,Medium Risk,1
Don't forget to bring the documents for tomorrow's meeting,0,Low Risk,0
Limited offer! Get 50% cashback on your next payment. Click here,0,Low Risk,0
আপনার নাম্বারটি নির্বাচিত হয়েছে লটারি জেতার জন্য। লিঙ্কে যাচাই করুন।,0,Low Risk,1
Can you send me your notes for today's class?,0,Low Risk,0
Win ₹5000 instantly! Verify your account at rewardsite.com,0,Low Risk,1
Alert: Unusual withdrawal of BDT 4500 from your account. Verify now to avoid loss.,35,Medium Risk,1
"Congratulations! You have won a BDT 20,000 shopping voucher. Reply to claim your prize.",0,Low Risk,1
Your water bill of BDT 1200 has been paid successfully.,0,Low Risk,0
Your parcel #YZ6789 will be delivered today. Track live through our app,0,Low Risk,0
Reminder: Your flight booking to Dhaka is scheduled for tomorrow at 6 AM.,0,Low Risk,0
Important: Your bank account is locked due to suspicious activity. Verify your identity now.,15,Low Risk,1
"Claim instant loan approval up to BDT 50,000. Send your documents to proceed.",15,Low Risk,1
Your mobile recharge of BDT 350 was processed successfully.,0,Low Risk,0
Your hotel booking confirmation #12345 for 3 nights in London.,0,Low Risk,0
Payment of BDT 3800 received. Thank you for your payment to ABC Store,0,Low Risk,0
Final notice: Update your billing info or your mobile service will be suspended.,0,Low Risk,1
Congratulations! You’re pre-qualified for a credit card with a $5000 limit. Apply now.,15,Low Risk,1
Your online shopping order #78654 is confirmed and will be delivered soon.,0,Low Risk,0
Your subscription to Sports Daily renewed successfully. Enjoy your exclusive content!,0,Low Risk,0
Alert: Suspicious login attempt on your email account. Secure it immediately.,15,Low Risk,1
You’ve earned BDT 1500 cashback on your last grocery purchase.,0,Low Risk,0
"Claim your government relief fund of BDT 30,000. Submit your documents today.",0,Low Risk,1
"Your taxi will arrive in 7 minutes. Driver: Saiful, Car: Blue Toyota.",0,Low Risk,0
Your Apple ID has been temporarily disabled. Verify now to avoid permanent lockout,35,Medium Risk,1
Thank you for your charitable donation of BDT 1000. Your kindness is appreciated.,0,Low Risk,0
Urgent payment required: Your credit card bill of BDT 7000 is overdue. Pay now to avoid fees,15,Low Risk,1
"অভিনন্দন! আপনি ২০,০০০ টাকার ভাউচার জিতেছেন। আপনার পুরস্কার পেতে “YES” রিপ্লাই করুন।",0,Low Risk,1
আপনার বিদ্যুতের বিল ৩১৫০ টাকা সফলভাবে পরিশোধ হয়েছে। ধন্যবাদ।,0,Low Risk,0
আপনার প্যাকেজ #এসটি১২৩৪৪ আজ ডেলিভারি হবে। ট্র্যাক করতে আমাদের অ্যাপ ব্যবহার করুন।,0,Low Risk,0
"Your bank transfer of BDT 10,000 has been successfully processed",0,Low Risk,0
You’ve won a free entry to the VIP concert! Reply YES to claim your tickets.,0,Low Risk,1
Your parcel #A7821 was successfully delivered. Thank you for shopping with us.,0,Low Risk,0
Warning: Multiple failed login attempts on your social media account. Check activity now.,15,Low Risk,1
"Your insurance claim was approved. BDT 15,000 will be credited to your account shortly.",0,Low Risk,0
"Last chance to claim your cashback offer worth BDT 5,000. Verify now.",35,Medium Risk,1
Your flight to Chittagong is on schedule for 10 AM tomorrow. Have a safe trip!,0,Low Risk,0
Confirm your bank details now to avoid loan application cancellation.,15,Low Risk,1
Your electricity bill for this month is BDT 2900. Please pay by the due date.,0,Low Risk,0
Congratulations! You have been selected to get an exclusive reward! Your name came up for a YETI War Survival Kit. This special gift is from Tractor Supply. Hurry up! Your Reward is Ready,0,Low Risk,1
Enjoy Annual Fee Waiver on Your Medical Quota Debit Card for Safe and Convenient Payment Abroad!,0,Low Risk,1
Your cloud storage is full. Please take action to free up space. Cloud Storage – Storage Limit Reached Your storage reached 100%,0,Low Risk,1
ANSWER FOR FREE!You have been chosen to participate in our Loyalty Program for FREE! It will take you only a minute to receive this fantastic prize.,0,Low Risk,1
Get a free Amazon voucher by completing this survey now.,15,Low Risk,1
Congratulations! Your subscription is upgraded. Click to confirm,0,Low Risk,1
Alert: Suspicious activity detected in your PayPal account. Verify now,35,Medium Risk,1
bKash: You received 2000 BDT. Click here to confirm your account,15,Low Risk,1
Do you want to join the study group this evening?,0,Low Risk,0
